JIS,SJIS,EUC,UTF-8,UTF-16,字
49,C9,8E49,EFBE89,FF89,ノ
4A,CA,8E4A,EFBE8A,FF8A,ハ
4B,CB,8E4B,EFBE8B,FF8B,ヒ
4C,CC,8E4C,EFBE8C,FF8C,フ
4D,CD,8E4D,EFBE8D,FF8D,ヘ
4E,CE,8E4E,EFBE8E,FF8E,ホ
4F,CF,8E4F,EFBE8F,FF8F,マ
50,D0,8E50,EFBE90,FF90,ミ
51,D1,8E51,EFBE91,FF91,ム
52,D2,8E52,EFBE92,FF92,メ
53,D3,8E53,EFBE93,FF93,モ
54,D4,8E54,EFBE94,FF94,ヤ
55,D5,8E55,EFBE95,FF95,ユ
56,D6,8E56,EFBE96,FF96,ヨ
57,D7,8E57,EFBE97,FF97,ラ
58,D8,8E58,EFBE98,FF98,リ
59,D9,8E59,EFBE99,FF99,ル
5A,DA,8E5A,EFBE9A,FF9A,レ
5B,DB,8E5B,EFBE9B,FF9B,ロ
5C,DC,8E5C,EFBE9C,FF9C,ワ
5D,DD,8E5D,EFBE9D,FF9D,ン
5E,DE,8E5E,EFBE9E,FF9E,゛
5F,DF,8E5F,EFBE9F,FF9F,゜
